Logs for Makerere Challenge



Epoch:1, Train L:0.6336, Train A:67.44, Val L:0.5996, Val A:67.59, LR:2e-05
Epoch:2, Train L:0.5791, Train A:70.60, Val L:0.5932, Val A:68.52, LR:2e-05
Epoch:3, Train L:0.5552, Train A:74.77, Val L:1.0876, Val A:54.01, LR:2e-05
Epoch:4, Train L:0.5360, Train A:74.15, Val L:0.3967, Val A:82.10, LR:2e-05
Epoch:5, Train L:0.4872, Train A:77.55, Val L:0.4573, Val A:79.32, LR:2e-05
Epoch:6, Train L:0.4902, Train A:77.93, Val L:0.4075, Val A:81.79, LR:2e-05
Epoch:7, Train L:0.4811, Train A:78.70, Val L:1.6857, Val A:53.40, LR:2e-05
Epoch:8, Train L:0.5042, Train A:75.77, Val L:0.4238, Val A:79.01, LR:2e-05
Epoch:9, Train L:0.4868, Train A:77.70, Val L:0.5326, Val A:71.30, LR:2e-05
Epoch:10, Train L:0.4886, Train A:77.85, Val L:0.3987, Val A:83.64, LR:2e-05
Epoch:11, Train L:0.4668, Train A:79.63, Val L:0.6070, Val A:68.52, LR:2e-05
Epoch:12, Train L:0.4620, Train A:79.48, Val L:0.4296, Val A:82.72, LR:2e-05
Epoch:13, Train L:0.4797, Train A:78.94, Val L:0.7505, Val A:54.94, LR:2e-05
Epoch:14, Train L:0.4721, Train A:78.40, Val L:0.4056, Val A:79.63, LR:2e-05
Epoch:15, Train L:0.5308, Train A:75.15, Val L:0.4608, Val A:80.86, LR:2e-05
Epoch:16, Train L:0.4676, Train A:79.17, Val L:0.9610, Val A:55.56, LR:2e-05
Epoch:17, Train L:0.4424, Train A:80.56, Val L:0.4182, Val A:80.86, LR:2e-05
Epoch:18, Train L:0.4861, Train A:78.94, Val L:0.6177, Val A:64.81, LR:2e-05
Epoch:19, Train L:0.4407, Train A:80.63, Val L:0.4584, Val A:76.23, LR:2e-05
Epoch:20, Train L:0.4726, Train A:79.86, Val L:0.3989, Val A:83.95, LR:2e-05
