Logs for Makerere Challenge



Epoch:1, Train L:0.6665, Train A:64.51, Val L:0.6357, Val A:69.44, LR:2e-05
Epoch:2, Train L:0.5979, Train A:69.37, Val L:0.8274, Val A:56.48, LR:2e-05
Epoch:3, Train L:0.5661, Train A:71.91, Val L:0.9227, Val A:48.46, LR:2e-05
Epoch:4, Train L:0.5289, Train A:74.77, Val L:1.0235, Val A:58.64, LR:2e-05
Epoch:5, Train L:0.5084, Train A:77.31, Val L:0.6862, Val A:66.98, LR:2e-05
Epoch:6, Train L:0.5195, Train A:74.07, Val L:0.6008, Val A:68.21, LR:2e-05
Epoch:7, Train L:0.5488, Train A:73.69, Val L:0.4426, Val A:81.48, LR:2e-05
Epoch:8, Train L:0.5066, Train A:77.01, Val L:0.6404, Val A:66.67, LR:2e-05
Epoch:9, Train L:0.5290, Train A:75.39, Val L:0.5910, Val A:67.59, LR:2e-05
Epoch:10, Train L:0.5044, Train A:76.93, Val L:0.3756, Val A:86.11, LR:2e-05
Epoch:11, Train L:0.4640, Train A:80.17, Val L:0.6395, Val A:69.75, LR:2e-05
Epoch:12, Train L:0.4945, Train A:78.55, Val L:0.8057, Val A:58.02, LR:2e-05
Epoch:13, Train L:0.4808, Train A:79.09, Val L:0.3351, Val A:85.80, LR:2e-05
Epoch:14, Train L:0.4726, Train A:78.16, Val L:0.8930, Val A:54.94, LR:2e-05
Epoch:15, Train L:0.4626, Train A:78.63, Val L:0.3652, Val A:79.63, LR:2e-05
Epoch:16, Train L:0.5050, Train A:76.08, Val L:0.4036, Val A:81.17, LR:2e-05
Epoch:17, Train L:0.4551, Train A:80.94, Val L:0.4062, Val A:84.57, LR:2e-05
Epoch:18, Train L:0.4697, Train A:78.40, Val L:0.3953, Val A:83.95, LR:2e-05
Epoch:19, Train L:0.4639, Train A:79.48, Val L:0.4877, Val A:76.85, LR:2e-05
Epoch:20, Train L:0.4568, Train A:79.71, Val L:0.4121, Val A:78.09, LR:2e-05
Epoch:21, Train L:0.4307, Train A:81.87, Val L:0.7377, Val A:57.72, LR:2e-05
Epoch:22, Train L:0.4489, Train A:80.86, Val L:0.4603, Val A:77.47, LR:1e-05
Epoch:23, Train L:0.4140, Train A:82.25, Val L:0.6632, Val A:61.11, LR:1e-05
Epoch:24, Train L:0.3898, Train A:84.95, Val L:0.3662, Val A:84.57, LR:1e-05
Epoch:25, Train L:0.3930, Train A:83.18, Val L:0.3930, Val A:79.32, LR:1e-05
Epoch:26, Train L:0.3886, Train A:83.95, Val L:0.5073, Val A:70.99, LR:1e-05
Epoch:27, Train L:0.4323, Train A:82.56, Val L:0.3003, Val A:91.98, LR:1e-05
Epoch:28, Train L:0.4006, Train A:82.25, Val L:0.2866, Val A:90.74, LR:1e-05
Epoch:29, Train L:0.4122, Train A:82.79, Val L:0.5433, Val A:68.83, LR:1e-05
Epoch:30, Train L:0.3985, Train A:83.02, Val L:0.3740, Val A:83.95, LR:1e-05
Epoch:31, Train L:0.4131, Train A:82.48, Val L:0.3507, Val A:84.88, LR:1e-05
Epoch:32, Train L:0.4144, Train A:82.02, Val L:0.2853, Val A:92.28, LR:1e-05
Epoch:33, Train L:0.4089, Train A:83.02, Val L:0.3573, Val A:86.73, LR:1e-05
Epoch:34, Train L:0.3958, Train A:84.88, Val L:0.3189, Val A:89.20, LR:1e-05
Epoch:35, Train L:0.4210, Train A:81.87, Val L:0.3513, Val A:83.33, LR:1e-05
Epoch:36, Train L:0.3967, Train A:83.33, Val L:0.3190, Val A:87.96, LR:1e-05
Epoch:37, Train L:0.3800, Train A:83.56, Val L:0.2754, Val A:91.67, LR:1e-05
Epoch:38, Train L:0.4105, Train A:82.64, Val L:0.2608, Val A:91.05, LR:1e-05
Epoch:39, Train L:0.4161, Train A:82.10, Val L:0.4063, Val A:77.78, LR:1e-05
Epoch:40, Train L:0.3794, Train A:84.03, Val L:0.2824, Val A:91.05, LR:1e-05
Epoch:41, Train L:0.3758, Train A:85.96, Val L:0.2934, Val A:87.96, LR:1e-05
